                                                 0,8 | 4,0        = PLAYER_WIN
                                                 7,2 | 5,4        = TIE       
                                            (3,1)4,7 | (5,8)3,8   = TIE       
                                            (3,7)0,7 | (0,0)0,7   = TIE       
                                                 7,1 | 0,7        = PLAYER_WIN
                                            (0,0)0,1 | (9,4)3,8   = TIE       
                                                 6,9 | 8,0        = BANKER_WIN
                                                 4,2 | 8,0        = BANKER_WIN
                                            (3,1)4,0 | (6,6)2,0   = PLAYER_WIN
                                            (7,6)3,0 | 2,3        = BANKER_WIN
                                                 4,2 | (4,8)2,0   = PLAYER_WIN
                                            (8,3)1,9 | 5,9        = BANKER_WIN
                                                 7,0 | 1,5        = PLAYER_WIN
                                            (6,4)0,4 | (4,0)4,6   = PLAYER_WIN
                                                 9,7 | (8,5)3,0   = PLAYER_WIN
                                            (1,9)0,0 | (0,0)0,0   = TIE       
                                                 7,0 | (0,0)0,0   = PLAYER_WIN
                                            (7,7)4,2 | 0,7        = BANKER_WIN
                                                 0,6 | (3,9)2,1   = PLAYER_WIN
                                            (0,3)3,4 | (3,0)3,0   = PLAYER_WIN
                                                 1,5 | (0,1)1,4   = PLAYER_WIN
                                                 0,6 | 1,6        = BANKER_WIN
                                            (2,0)2,4 | (0,0)0,0   = PLAYER_WIN
                                                 6,0 | (0,3)3,2   = PLAYER_WIN
                                            (5,0)5,7 | (0,0)0,4   = BANKER_WIN
                                            (4,0)4,5 | 1,0        = PLAYER_WIN
                                                     卡用完了，重新初始化!
                                                 4,0 | 9,0        = BANKER_WIN
                                            (0,4)4,0 | (1,0)1,8   = BANKER_WIN
                                            (0,0)0,9 | 3,3        = PLAYER_WIN
                                            (0,1)1,2 | (0,4)4,7   = PLAYER_WIN
                                            (9,4)3,7 | (0,3)3,9   = BANKER_WIN
                                            (6,5)1,5 | (5,6)1,3   = PLAYER_WIN
                                                 9,5 | 4,5        = BANKER_WIN
                                                 5,2 | (2,1)3,0   = PLAYER_WIN
                                                 1,7 | 4,0        = PLAYER_WIN
                                                 2,5 | (8,4)2,8   = PLAYER_WIN
                                                 6,1 | (3,2)5,0   = PLAYER_WIN
                                                 0,8 | 1,5        = PLAYER_WIN
                                                 8,1 | 7,0        = PLAYER_WIN
                                            (0,2)2,4 | 6,0        = TIE       
                                                 1,8 | 7,8        = PLAYER_WIN
                                            (5,0)5,6 | (0,2)2,3   = BANKER_WIN
                                            (4,9)3,5 | 1,2        = PLAYER_WIN
                                            (2,0)2,2 | 9,7        = BANKER_WIN
                                            (0,3)3,0 | 4,0        = BANKER_WIN
                                                 4,5 | 6,0        = PLAYER_WIN
                                            (0,3)3,3 | (0,2)2,9   = PLAYER_WIN
                                                 5,7 | 0,8        = BANKER_WIN
                                                 1,7 | 0,0        = PLAYER_WIN
                                            (6,5)1,9 | (3,0)3,7   = TIE       
                                            (0,0)0,6 | (8,4)2,0   = PLAYER_WIN
                                                 0,9 | 9,3        = PLAYER_WIN
                                                 7,8 | 5,3        = BANKER_WIN
                                                 4,4 | 7,3        = PLAYER_WIN
                                                 5,4 | 0,8        = PLAYER_WIN
                                            (3,7)0,0 | 7,9        = BANKER_WIN
                                            (0,0)0,0 | (0,2)2,0   = BANKER_WIN
                                            (8,7)5,7 | (2,0)2,9   = PLAYER_WIN
                                            (5,0)5,5 | 1,4        = BANKER_WIN
                                                 1,7 | 5,0        = PLAYER_WIN
                                            (4,9)3,7 | (0,1)1,9   = TIE       
                                                 7,2 | 0,2        = PLAYER_WIN
                                            (1,1)2,0 | (8,5)3,6   = BANKER_WIN
                                                 7,1 | 6,4        = PLAYER_WIN
                                                 9,0 | 2,8        = PLAYER_WIN
                                                 0,0 | 0,8        = BANKER_WIN
                                            (0,4)4,0 | (6,4)0,3   = PLAYER_WIN
                                                 5,1 | (0,0)0,6   = TIE       
                                                 7,6 | 6,2        = BANKER_WIN
                                                 2,0 | 0,9        = BANKER_WIN
                                            (2,9)1,9 | 0,7        = BANKER_WIN
                                                 5,0 | 0,9        = BANKER_WIN
                                                 8,8 | 3,6        = BANKER_WIN
                                                 5,0 | 0,9        = BANKER_WIN
                                                 1,3 | 8,0        = BANKER_WIN
                                            (3,0)3,2 | 9,7        = BANKER_WIN
                                            (0,2)2,0 | (0,3)3,0   = BANKER_WIN
                                            (0,2)2,7 | 0,5        = PLAYER_WIN
                                            (6,9)5,8 | (0,1)1,1   = PLAYER_WIN
                                                 2,6 | 0,6        = PLAYER_WIN
                                                 0,3 | 8,0        = BANKER_WIN
                                                 2,6 | 8,0        = TIE       
                                                 9,6 | 0,9        = BANKER_WIN
                                            (0,0)0,0 | 0,4        = BANKER_WIN
                                            (7,3)0,9 | 4,1        = PLAYER_WIN
                                            (0,0)0,8 | 0,4        = PLAYER_WIN
                                                 0,6 | 8,1        = BANKER_WIN
                                            (3,8)1,6 | (0,2)2,8   = PLAYER_WIN
                                                 6,1 | 4,2        = PLAYER_WIN
                                            (3,0)3,0 | 0,5        = BANKER_WIN
                                            (6,7)3,7 | (0,1)1,0   = BANKER_WIN
                                            (2,0)2,0 | 5,0        = BANKER_WIN
                                            (3,0)3,3 | 4,2        = TIE       
                                                 4,7 | 8,0        = BANKER_WIN
                                            (5,0)5,0 | (1,9)0,1   = PLAYER_WIN
                                            (8,6)4,5 | 3,0        = PLAYER_WIN
                                                 8,0 | 4,0        = PLAYER_WIN
                                            (1,4)5,9 | (3,0)3,0   = PLAYER_WIN
                                                 0,0 | 0,9        = BANKER_WIN
                                            (9,5)4,0 | (1,2)3,8   = PLAYER_WIN
                                                 7,0 | (8,4)2,0   = PLAYER_WIN
                                                 4,4 | 2,7        = BANKER_WIN
                                                 5,2 | (0,3)3,6   = BANKER_WIN
                                            (5,9)4,6 | 7,0        = BANKER_WIN
                                            (0,2)2,0 | 0,5        = BANKER_WIN
                                                 1,6 | 8,1        = BANKER_WIN
                                                 0,9 | 0,0        = PLAYER_WIN
                                                 6,0 | (8,6)4,1   = PLAYER_WIN
                                                 0,7 | 3,3        = PLAYER_WIN
                                            (7,4)1,0 | (0,0)0,0   = PLAYER_WIN
                                            (3,9)2,0 | (0,0)0,3   = BANKER_WIN
                                            (0,0)0,4 | 0,6        = BANKER_WIN
                                                 5,1 | 6,0        = TIE       
                                                     卡用完了，重新初始化!
                                            (2,8)0,6 | (2,0)2,8   = PLAYER_WIN
                                                 6,0 | 0,7        = BANKER_WIN
                                                 0,7 | (1,9)0,6   = PLAYER_WIN
                                            (7,5)2,9 | (0,0)0,0   = PLAYER_WIN
                                            (4,7)1,5 | 9,8        = BANKER_WIN
                                            (3,8)1,0 | 4,0        = BANKER_WIN
                                            (0,1)1,3 | (0,0)0,1   = PLAYER_WIN
                                                 2,7 | 5,0        = PLAYER_WIN
                                            (5,8)3,6 | 1,0        = PLAYER_WIN
                                            (0,4)4,2 | (0,4)4,9   = PLAYER_WIN
                                                 0,1 | 6,3        = BANKER_WIN
                                            (6,7)3,5 | 8,3        = PLAYER_WIN
                                                 2,1 | 0,9        = BANKER_WIN
                                                 6,8 | 9,0        = BANKER_WIN
                                                 6,0 | 5,3        = BANKER_WIN
                                                 1,8 | 7,8        = PLAYER_WIN
                                            (0,0)0,6 | (0,1)1,9   = PLAYER_WIN
                                                 8,0 | 1,0        = PLAYER_WIN
                                            (5,0)5,7 | 0,5        = BANKER_WIN
                                                 6,0 | (2,1)3,1   = PLAYER_WIN
                                            (1,0)1,0 | (4,9)3,6   = BANKER_WIN
                                                 1,1 | 9,0        = BANKER_WIN
                                            (0,5)5,3 | 4,0        = PLAYER_WIN
                                            (6,4)0,0 | (8,3)1,1   = BANKER_WIN
                                            (4,0)4,0 | (8,2)0,0   = PLAYER_WIN
                                                 4,3 | (2,0)2,8   = PLAYER_WIN
                                            (0,0)0,7 | (1,9)0,3   = PLAYER_WIN
                                            (3,2)5,9 | 4,3        = BANKER_WIN
                                            (0,5)5,3 | 8,6        = PLAYER_WIN
                                                 2,5 | (9,3)2,0   = PLAYER_WIN
                                            (7,5)2,0 | (0,0)0,5   = BANKER_WIN
                                                 3,3 | (0,2)2,5   = BANKER_WIN
                                                 3,9 | 8,0        = BANKER_WIN
                                                 3,1 | 0,9        = BANKER_WIN
                                                 1,7 | 0,0        = PLAYER_WIN
                                            (0,3)3,7 | (0,2)2,0   = BANKER_WIN
                                            (7,5)2,6 | 4,1        = PLAYER_WIN
                                                 8,0 | 3,0        = PLAYER_WIN
                                                 6,0 | 6,0        = TIE       
                                            (0,2)2,6 | 5,6        = PLAYER_WIN
                                                 4,4 | 5,8        = PLAYER_WIN
                                                 0,7 | (7,5)2,0   = PLAYER_WIN
                                                 4,2 | (0,0)0,8   = BANKER_WIN
                                                 8,6 | 8,0        = BANKER_WIN
                                            (0,1)1,0 | (0,0)0,0   = PLAYER_WIN
                                            (8,2)0,0 | 2,2        = BANKER_WIN
                                            (3,9)2,0 | (6,7)3,6   = BANKER_WIN
                                            (0,3)3,5 | 4,0        = PLAYER_WIN
                                            (0,2)2,5 | (0,5)5,0   = PLAYER_WIN
                                            (7,4)1,2 | 0,5        = BANKER_WIN
                                                 0,9 | 7,9        = PLAYER_WIN
                                                 9,7 | 8,0        = BANKER_WIN
                                            (0,0)0,7 | (0,4)4,4   = BANKER_WIN
                                            (9,6)5,2 | (4,9)3,4   = TIE       
                                                 2,4 | 8,9        = BANKER_WIN
                                                 0,0 | 0,8        = BANKER_WIN
                                            (1,0)1,1 | (6,4)0,2   = TIE       
                                            (4,0)4,8 | 6,9        = BANKER_WIN
                                            (0,2)2,1 | 0,7        = BANKER_WIN
                                                 3,3 | (3,0)3,1   = PLAYER_WIN
                                                 1,7 | 0,0        = PLAYER_WIN
                                            (8,4)2,9 | 0,4        = BANKER_WIN
                                                 0,7 | (0,0)0,5   = PLAYER_WIN
                                            (0,3)3,3 | (5,6)1,7   = BANKER_WIN
                                                 9,0 | 7,3        = PLAYER_WIN
                                            (0,1)1,0 | (2,0)2,3   = BANKER_WIN
                                            (2,0)2,6 | 5,0        = PLAYER_WIN
                                                 2,1 | 9,0        = BANKER_WIN
                                                 8,0 | 9,9        = TIE       
                                            (0,0)0,6 | (8,4)2,7   = BANKER_WIN
                                            (6,9)5,2 | 2,4        = PLAYER_WIN
                                            (7,5)2,4 | (0,2)2,6   = BANKER_WIN
                                            (4,0)4,0 | (2,9)1,0   = PLAYER_WIN
                                                 7,1 | 4,5        = BANKER_WIN
                                            (7,3)0,3 | 0,5        = BANKER_WIN
                                                 6,1 | (1,0)1,0   = PLAYER_WIN
                                                 7,0 | 7,0        = TIE       
                                                 0,9 | 8,4        = PLAYER_WIN
                                                 8,5 | 0,8        = BANKER_WIN
                                            (0,3)3,0 | 4,3        = BANKER_WIN
                                                 0,5 | 9,0        = BANKER_WIN
                                            (9,5)4,8 | 6,0        = BANKER_WIN
                                                 5,1 | 6,0        = TIE       
                                            (0,2)2,2 | (0,0)0,1   = PLAYER_WIN
                                                     卡用完了，重新初始化!
                                                 7,0 | 0,7        = TIE       
                                            (8,7)5,0 | 5,0        = TIE       
                                                 0,6 | (8,3)1,4   = PLAYER_WIN
                                            (0,0)0,7 | 0,7        = TIE       
                                            (7,6)3,6 | 6,1        = PLAYER_WIN
                                            (0,0)0,7 | (0,2)2,6   = BANKER_WIN
                                            (8,3)1,0 | 9,8        = BANKER_WIN
                                                 8,1 | 0,0        = PLAYER_WIN
                                            (5,5)0,6 | 6,0        = TIE       
                                            (8,4)2,6 | 0,7        = PLAYER_WIN
                                            (5,9)4,0 | 4,1        = BANKER_WIN
                                            (0,4)4,9 | (4,9)3,1   = BANKER_WIN
                                            (4,9)3,9 | (6,7)3,7   = PLAYER_WIN
                                            (0,0)0,4 | 2,4        = BANKER_WIN
                                                 3,7 | 0,9        = BANKER_WIN
                                                 7,0 | (4,7)1,5   = PLAYER_WIN
                                                 0,6 | (0,0)0,8   = BANKER_WIN
                                                 0,8 | 2,2        = PLAYER_WIN
                                            (1,4)5,0 | 6,9        = TIE       
                                                 5,4 | 5,6        = PLAYER_WIN
                                                 2,2 | 0,8        = BANKER_WIN
                                            (1,3)4,0 | 0,6        = BANKER_WIN
                                            (0,0)0,2 | (9,4)3,2   = BANKER_WIN
                                                 2,5 | (5,6)1,7   = BANKER_WIN
                                                 6,1 | 0,7        = TIE       
                                            (1,1)2,5 | 7,0        = TIE       
                                            (0,0)0,6 | (0,0)0,0   = PLAYER_WIN
                                                 0,6 | (4,0)4,0   = PLAYER_WIN
                                            (0,2)2,9 | (0,1)1,1   = BANKER_WIN
                                            (0,3)3,4 | (0,0)0,2   = PLAYER_WIN
                                            (4,0)4,0 | (9,4)3,6   = BANKER_WIN
                                                 9,8 | (0,2)2,8   = PLAYER_WIN
                                                 5,3 | 8,4        = PLAYER_WIN
                                                 0,0 | 5,3        = BANKER_WIN
                                                 0,9 | 0,0        = PLAYER_WIN
                                                 4,1 | 8,0        = BANKER_WIN
                                            (9,3)2,3 | (5,9)4,0   = PLAYER_WIN
                                            (0,5)5,3 | 0,5        = PLAYER_WIN
                                            (1,9)0,7 | (7,3)0,2   = PLAYER_WIN
                                                 6,9 | 9,0        = BANKER_WIN
                                            (5,0)5,8 | (8,3)1,0   = PLAYER_WIN
                                                 3,6 | 2,0        = PLAYER_WIN
                                            (0,5)5,3 | 6,1        = PLAYER_WIN
                                                 0,3 | 1,8        = BANKER_WIN
                                            (1,0)1,0 | (3,9)2,0   = BANKER_WIN
                                                 7,6 | 0,8        = BANKER_WIN
                                                 8,0 | 0,0        = PLAYER_WIN
                                                 9,1 | 5,4        = BANKER_WIN
                                            (0,4)4,7 | 2,4        = BANKER_WIN
                                            (1,0)1,0 | (0,0)0,2   = BANKER_WIN
                                            (0,2)2,7 | 1,0        = PLAYER_WIN
                                            (5,0)5,6 | (0,2)2,4   = BANKER_WIN
                                                 2,7 | 2,0        = PLAYER_WIN
                                                 0,0 | 0,8        = BANKER_WIN
                                            (6,5)1,0 | 7,0        = BANKER_WIN
                                                 8,1 | 8,3        = PLAYER_WIN
                                            (1,2)3,3 | (0,3)3,4   = BANKER_WIN
                                                 5,1 | 2,5        = BANKER_WIN
                                                 0,8 | 0,1        = PLAYER_WIN
                                                 9,7 | (2,0)2,4   = TIE       
                                            (4,9)3,3 | (5,0)5,5   = PLAYER_WIN
                                                 8,0 | 8,3        = PLAYER_WIN
                                                 2,4 | (0,0)0,4   = PLAYER_WIN
                                            (0,0)0,1 | 0,5        = BANKER_WIN
                                            (9,4)3,0 | (0,0)0,0   = PLAYER_WIN
                                                 8,1 | 5,3        = PLAYER_WIN
                                            (0,0)0,5 | 9,7        = BANKER_WIN
                                                 7,1 | 1,8        = BANKER_WIN
                                            (3,7)0,1 | (4,6)0,9   = BANKER_WIN
                                                 0,9 | 8,1        = TIE       
                                            (2,3)5,8 | (0,0)0,2   = PLAYER_WIN
                                            (1,0)1,0 | (0,0)0,0   = PLAYER_WIN
                                            (2,8)0,0 | (0,0)0,5   = BANKER_WIN
                                                 9,9 | 6,3        = BANKER_WIN
                                            (7,7)4,0 | (3,9)2,1   = PLAYER_WIN
                                            (9,3)2,1 | 6,9        = BANKER_WIN
                                                 5,3 | 0,5        = PLAYER_WIN
                                            (0,5)5,6 | (0,0)0,2   = BANKER_WIN
                                                 3,4 | 6,0        = PLAYER_WIN
                                                 7,3 | 8,0        = BANKER_WIN
                                            (7,4)1,0 | (3,7)0,0   = PLAYER_WIN
                                                 9,0 | 6,3        = TIE       
                                                 2,7 | 2,0        = PLAYER_WIN
                                            (4,0)4,6 | (5,8)3,8   = BANKER_WIN
                                                 6,2 | 0,2        = PLAYER_WIN
                                                     卡用完了，重新初始化!
                                            (0,2)2,0 | (0,0)0,7   = BANKER_WIN
                                                 3,5 | 6,9        = PLAYER_WIN
                                            (2,2)4,0 | (0,0)0,5   = BANKER_WIN
                                            (1,3)4,4 | 4,0        = PLAYER_WIN
                                            (7,5)2,5 | (1,0)1,0   = PLAYER_WIN
                                                 3,6 | 0,4        = PLAYER_WIN
                                                 4,5 | 0,9        = TIE       
                                            (0,5)5,5 | (8,6)4,1   = BANKER_WIN
                                            (0,0)0,3 | (0,3)3,0   = TIE       
                                            (7,7)4,2 | (0,2)2,0   = PLAYER_WIN
                                            (0,0)0,7 | (0,1)1,0   = PLAYER_WIN
                                            (6,4)0,7 | (1,9)0,4   = PLAYER_WIN
                                            (3,9)2,9 | (8,2)0,6   = BANKER_WIN
                                                 8,0 | 0,3        = PLAYER_WIN
                                                 7,9 | (1,0)1,4   = PLAYER_WIN
                                            (1,0)1,9 | (1,0)1,0   = BANKER_WIN
                                            (7,6)3,7 | (2,9)1,5   = BANKER_WIN
                                            (0,3)3,7 | 6,0        = BANKER_WIN
                                            (2,3)5,0 | 0,6        = BANKER_WIN
                                                 2,7 | 3,6        = TIE       
                                            (7,8)5,0 | (0,0)0,7   = BANKER_WIN
                                                 2,4 | 7,1        = BANKER_WIN
                                            (9,3)2,0 | 3,2        = BANKER_WIN
                                                 7,0 | (0,1)1,7   = BANKER_WIN
                                            (6,7)3,0 | 5,0        = BANKER_WIN
                                            (5,5)0,0 | (0,0)0,1   = BANKER_WIN
                                            (3,9)2,0 | 9,8        = BANKER_WIN
                                                 7,4 | 1,8        = BANKER_WIN
                                            (5,6)1,0 | (0,0)0,0   = PLAYER_WIN
                                                 9,0 | 8,6        = PLAYER_WIN
                                                 6,0 | 8,0        = BANKER_WIN
                                            (1,0)1,9 | 2,5        = BANKER_WIN
                                                 0,6 | (0,4)4,1   = PLAYER_WIN
                                                 9,8 | (6,9)5,0   = PLAYER_WIN
                                            (5,0)5,8 | 6,1        = BANKER_WIN
                                                 0,9 | 0,1        = PLAYER_WIN
                                            (9,3)2,0 | (3,0)3,0   = BANKER_WIN
                                                 5,3 | 3,0        = PLAYER_WIN
                                            (9,4)3,0 | (5,7)2,9   = PLAYER_WIN
                                                 4,2 | (1,2)3,6   = BANKER_WIN
                                            (6,7)3,1 | (9,4)3,8   = PLAYER_WIN
                                                 8,9 | (1,0)1,4   = PLAYER_WIN
                                            (1,0)1,2 | (5,7)2,4   = BANKER_WIN
                                                 2,8 | 0,8        = BANKER_WIN
                                                 6,2 | 5,0        = PLAYER_WIN
                                                 6,3 | 2,0        = PLAYER_WIN
                                            (5,6)1,6 | 7,0        = TIE       
                                            (0,0)0,2 | 9,6        = BANKER_WIN
                                            (0,0)0,0 | (0,3)3,5   = BANKER_WIN
                                                 0,9 | 8,8        = PLAYER_WIN
                                                 4,3 | (6,9)5,2   = TIE       
                                                 8,0 | 8,6        = PLAYER_WIN
                                            (1,9)0,3 | (8,2)0,0   = PLAYER_WIN
                                                 9,0 | 0,8        = PLAYER_WIN
                                            (0,0)0,0 | 6,8        = BANKER_WIN
                                            (4,8)2,4 | (0,0)0,9   = BANKER_WIN
                                            (5,7)2,4 | (0,0)0,2   = PLAYER_WIN
                                                 5,2 | (9,1)0,7   = TIE       
                                                 7,0 | (4,0)4,4   = BANKER_WIN
                                            (2,8)0,0 | 0,7        = BANKER_WIN
                                                 8,0 | 0,0        = PLAYER_WIN
                                                 0,0 | 8,0        = BANKER_WIN
                                                 1,0 | 8,0        = BANKER_WIN
                                            (5,0)5,3 | 3,0        = PLAYER_WIN
                                                 2,4 | (1,0)1,5   = TIE       
                                                 5,3 | 2,2        = PLAYER_WIN
                                                 4,4 | 1,0        = PLAYER_WIN
                                                 0,3 | 5,4        = BANKER_WIN
                                                 0,0 | 7,1        = BANKER_WIN
                                                 6,0 | 8,1        = BANKER_WIN
                                            (1,3)4,7 | (8,2)0,3   = BANKER_WIN
                                                 7,0 | 6,3        = BANKER_WIN
                                                 0,2 | 0,8        = BANKER_WIN
                                            (3,8)1,9 | (0,0)0,4   = BANKER_WIN
                                                 5,2 | (0,0)0,0   = PLAYER_WIN
                                            (7,4)1,3 | (0,4)4,6   = PLAYER_WIN
                                                 6,2 | 4,7        = PLAYER_WIN
                                            (9,5)4,0 | 0,5        = BANKER_WIN
                                                 0,0 | 5,3        = BANKER_WIN
                                                 1,6 | (4,0)4,8   = PLAYER_WIN
                                                 0,9 | 0,1        = PLAYER_WIN
                                            (4,0)4,7 | (8,5)3,0   = BANKER_WIN
                                            (1,4)5,3 | 0,0        = PLAYER_WIN
                                                 2,6 | 9,5        = PLAYER_WIN
                                                     卡用完了，重新初始化!
                                            (1,0)1,2 | (0,2)2,0   = PLAYER_WIN
                                            (2,0)2,6 | 3,0        = PLAYER_WIN
                                                 2,9 | 0,8        = BANKER_WIN
                                            (0,5)5,0 | (4,9)3,7   = PLAYER_WIN
                                            (3,8)1,2 | 5,0        = BANKER_WIN
                                                 3,5 | 4,4        = TIE       
                                            (4,7)1,7 | 0,7        = PLAYER_WIN
                                                 8,0 | 0,5        = PLAYER_WIN
                                            (3,2)5,5 | (3,0)3,0   = BANKER_WIN
                                                 6,0 | 1,8        = BANKER_WIN
                                            (6,4)0,8 | 1,9        = PLAYER_WIN
                                                 0,6 | (7,4)1,2   = PLAYER_WIN
                                                 8,0 | 0,5        = PLAYER_WIN
                                            (9,1)0,0 | 8,6        = BANKER_WIN
                                                 8,2 | 1,7        = BANKER_WIN
                                            (8,2)0,4 | 2,3        = BANKER_WIN
                                            (0,1)1,5 | (0,0)0,4   = PLAYER_WIN
                                                 3,5 | 4,4        = TIE       
                                                 0,7 | (2,0)2,0   = PLAYER_WIN
                                                 0,9 | 1,0        = PLAYER_WIN
                                            (3,7)0,0 | (0,1)1,6   = BANKER_WIN
                                                 5,3 | 3,0        = PLAYER_WIN
                                                 0,7 | 6,0        = PLAYER_WIN
                                            (2,0)2,0 | 0,6        = BANKER_WIN
                                            (0,4)4,8 | 6,0        = BANKER_WIN
                                                 1,5 | 0,8        = BANKER_WIN
                                            (2,9)1,8 | 4,1        = PLAYER_WIN
                                            (5,0)5,3 | 7,8        = PLAYER_WIN
                                                 0,6 | 0,8        = BANKER_WIN
                                            (8,4)2,0 | 3,4        = BANKER_WIN
                                            (1,0)1,5 | 6,0        = TIE       
                                                 6,0 | (0,3)3,7   = PLAYER_WIN
