                                                 9,0 | 7,7        = PLAYER_WIN | (NO BET)
                                            (5,Q)5,3 | 6,5        = PLAYER_WIN | (NO BET)
                                           (A,10)1,K | 0,6        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 2,5 | (A,3)4,3   = TIE        | (NO BET)
                                           (4,A)5,10 | 2,5        = BANKER_WIN | (NO BET)
                                                 8,0 | 0,2        = PLAYER_WIN | (NO BET)
                                           (10,3)3,6 | 3,1        = PLAYER_WIN | (NO BET)
                                           (10,2)2,K | (7,5)2,Q   = TIE        | (NO BET)
                                                 0,8 | 7,2        = BANKER_WIN | (NO BET)
                                           (10,J)0,8 | 0,0        = PLAYER_WIN | (NO BET)
                                          (10,10)0,A | (K,J)0,4   = BANKER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                            (4,9)3,K | (J,K)0,K   = PLAYER_WIN | (NO BET)
                                            (K,A)1,4 | (A,A)2,9   = PLAYER_WIN | (NO BET)
                                                 4,4 | 8,1        = BANKER_WIN | (NO BET)
                                                 0,0 | 8,1        = BANKER_WIN | (NO BET)
                                                 9,1 | 7,1        = BANKER_WIN | (NO BET)
                                           (2,10)2,9 | 7,9        = BANKER_WIN | (BET) PLAYER_WIN
                                            (3,K)3,7 | (7,5)2,K   = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,2 | 0,9        = BANKER_WIN | (BET) PLAYER_WIN
                                                 4,6 | 7,2        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,6 | (A,A)2,3   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (A,3)4,10 | (Q,K)0,10  = PLAYER_WIN | (NO BET)
                                                 3,0 | 9,9        = BANKER_WIN | (NO BET)
                                            (A,A)2,Q | (K,K)0,4   = BANKER_WIN | (NO BET)
                                            (2,Q)2,4 | (9,5)4,7   = PLAYER_WIN | (NO BET)
                                                 1,0 | 8,0        = BANKER_WIN | (NO BET)
                                          (A,10)1,10 | (2,8)0,Q   = PLAYER_WIN | (NO BET)
                                                 0,0 | 9,9        = BANKER_WIN | (NO BET)
                                            (2,2)4,5 | 0,6        = PLAYER_WIN | (NO BET)
                                                 3,4 | 5,3        = BANKER_WIN | (NO BET)
                                                 6,0 | 0,9        = BANKER_WIN | (NO BET)
                                            (7,5)2,9 | (6,6)2,8   = PLAYER_WIN | (NO BET)
                                            (8,3)1,3 | (8,4)2,6   = BANKER_WIN | (NO BET)
                                            (2,Q)2,9 | 4,0        = BANKER_WIN | (NO BET)
                                            (2,Q)2,J | 5,0        = BANKER_WIN | (NO BET)
                                                 6,9 | 0,9        = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,0 | 6,3        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,9 | 6,4        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (J,A)1,10 | (Q,3)3,7   = PLAYER_WIN | (NO BET)
                                            (5,7)2,2 | 4,3        = BANKER_WIN | (NO BET)
                                                 2,6 | 3,0        = PLAYER_WIN | (NO BET)
                                            (8,5)3,7 | (8,4)2,2   = BANKER_WIN | (NO BET)
                                            (J,5)5,6 | 1,6        = BANKER_WIN | (NO BET)
                                                 0,6 | (4,7)1,3   = PLAYER_WIN | (NO BET)
                                           (6,7)3,10 | 7,0        = BANKER_WIN | (NO BET)
                                            (9,3)2,5 | (4,J)4,A   = PLAYER_WIN | (NO BET)
                                            (J,A)1,Q | 7,0        = BANKER_WIN | (NO BET)
                                            (K,A)1,5 | (Q,2)2,7   = BANKER_WIN | (NO BET)
                                                 9,8 | (7,8)5,9   = PLAYER_WIN | (NO BET)
                                                 5,7 | 5,4        = BANKER_WIN | (NO BET)
                                                 0,0 | 0,8        = BANKER_WIN | (NO BET)
                                                 0,2 | 0,9        = BANKER_WIN | (NO BET)
                                            (7,8)5,3 | 0,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 7,9 | (2,K)2,3   = PLAYER_WIN | (NO BET)
                                                 5,0 | 2,6        = BANKER_WIN | (NO BET)
                                                 9,4 | 7,2        = BANKER_WIN | (NO BET)
                                            (8,3)1,6 | (6,8)4,A   = PLAYER_WIN | (NO BET)
                                            (J,K)0,2 | (7,5)2,7   = BANKER_WIN | (NO BET)
                                            (Q,Q)0,7 | 1,5        = PLAYER_WIN | (NO BET)
                                                 7,0 | (6,9)5,J   = PLAYER_WIN | (NO BET)
                                                 8,0 | 2,2        = PLAYER_WIN | (NO BET)
                                           (10,A)1,K | (10,J)0,7  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                            (6,6)2,8 | 1,3        = BANKER_WIN | (NO BET)
                                           (10,5)5,3 | 0,1        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 5,5        = PLAYER_WIN | (NO BET)
                                            (J,5)5,A | 7,0        = BANKER_WIN | (NO BET)
                                            (4,7)1,3 | 6,0        = BANKER_WIN | (NO BET)
                                                 0,6 | (8,4)2,10  = PLAYER_WIN | (NO BET)
                                                 5,6 | 7,2        = BANKER_WIN | (NO BET)
                                                 0,4 | 3,5        = BANKER_WIN | (NO BET)
                                            (3,8)1,2 | (K,Q)0,6   = BANKER_WIN | (NO BET)
                                            (8,6)4,4 | 4,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (Q,J)0,2 | (6,4)0,K   = PLAYER_WIN | (NO BET)
                                                 8,0 | 3,5        = TIE        | (NO BET)
                                                 8,4 | 3,5        = BANKER_WIN | (NO BET)
                                            (K,A)1,2 | (3,10)3,4  = BANKER_WIN | (NO BET)
                                            (A,Q)1,J | (2,Q)2,9   = TIE        | (NO BET)
                                            (K,3)3,9 | 4,0        = BANKER_WIN | (NO BET)
                                            (J,J)0,J | 0,5        = BANKER_WIN | (NO BET)
                                            (4,8)2,A | (8,5)3,9   = PLAYER_WIN | (NO BET)
                                                 0,6 | 3,5        = BANKER_WIN | (NO BET)
                                                 4,5 | 1,0        = PLAYER_WIN | (NO BET)
                                                 8,2 | 3,5        = BANKER_WIN | (NO BET)
                                            (J,Q)0,J | (4,7)1,2   = BANKER_WIN | (NO BET)
                                                 4,0 | 9,0        = BANKER_WIN | (NO BET)
                                                 1,0 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 7,2 | 2,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (6,5)1,5 | (10,Q)0,4  = PLAYER_WIN | (NO BET)
                                            (8,3)1,J | (J,2)2,5   = BANKER_WIN | (NO BET)
                                            (3,A)4,8 | (J,J)0,10  = PLAYER_WIN | (NO BET)
                                                 9,8 | 0,7        = TIE        | (NO BET)
                                           (10,2)2,9 | 0,4        = BANKER_WIN | (NO BET)
                                                 0,6 | (Q,4)4,A   = PLAYER_WIN | (NO BET)
                                            (2,3)5,8 | (9,3)2,K   = PLAYER_WIN | (NO BET)
                                            (K,K)0,Q | 6,0        = BANKER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                                 8,0 | 0,0        = PLAYER_WIN | (NO BET)
                                                 0,9 | 4,8        = PLAYER_WIN | (NO BET)
                                                 0,6 | 8,0        = BANKER_WIN | (NO BET)
                                                 0,6 | (4,6)0,J   = PLAYER_WIN | (NO BET)
                                                 9,0 | 9,4        = PLAYER_WIN | (NO BET)
                                                 9,0 | 3,5        = PLAYER_WIN | (NO BET)
                                                 7,0 | (10,2)2,10 = PLAYER_WIN | (BET) BANKER_WIN
                                            (J,5)5,4 | 6,5        = PLAYER_WIN | (BET) BANKER_WIN
                                            (3,7)0,J | 4,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 5,4 | 4,8        = PLAYER_WIN | (NO BET)
                                            (9,3)2,4 | (A,3)4,6   = PLAYER_WIN | (NO BET)
                                                 2,7 | 8,5        = PLAYER_WIN | (NO BET)
                                                 9,0 | 8,9        = PLAYER_WIN | (BET) BANKER_WIN
                                                 3,4 | 3,5        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 8,9 | (10,J)0,3  = PLAYER_WIN | (NO BET)
                                            (2,8)0,8 | 7,7        = PLAYER_WIN | (NO BET)
                                            (K,J)0,Q | (10,2)2,7  = BANKER_WIN | (NO BET)
                                                 6,1 | (9,6)5,9   = PLAYER_WIN | (NO BET)
                                           (10,J)0,2 | 0,5        = BANKER_WIN | (NO BET)
                                            (3,K)3,Q | 4,3        = BANKER_WIN | (NO BET)
                                                 8,8 | (8,7)5,5   = PLAYER_WIN | (NO BET)
                                            (Q,J)0,4 | 6,0        = BANKER_WIN | (NO BET)
                                                 6,0 | 0,7        = BANKER_WIN | (NO BET)
                                                 3,6 | 2,3        = PLAYER_WIN | (NO BET)
                                                 2,4 | (3,A)4,8   = PLAYER_WIN | (NO BET)
                                            (Q,A)1,7 | 0,0        = PLAYER_WIN | (NO BET)
                                            (A,9)0,Q | 4,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (7,6)3,J | 1,5        = BANKER_WIN | (NO BET)
                                                 6,0 | (10,A)1,5  = TIE        | (NO BET)
                                            (5,8)3,K | 0,4        = BANKER_WIN | (NO BET)
                                                 5,2 | (7,5)2,9   = PLAYER_WIN | (NO BET)
                                                 0,8 | 1,6        = PLAYER_WIN | (NO BET)
                                           (10,A)1,A | 5,0        = BANKER_WIN | (NO BET)
                                                 9,4 | 8,1        = BANKER_WIN | (NO BET)
                                                 0,6 | (10,Q)0,7  = BANKER_WIN | (NO BET)
                                            (8,2)0,5 | (A,K)1,4   = TIE        | (BET) PLAYER_WIN
                                                 0,7 | (3,8)1,8   = BANKER_WIN | (NO BET)
                                                 2,9 | 0,9        = BANKER_WIN | (NO BET)
                                                 0,7 | (2,2)4,10  = PLAYER_WIN | (NO BET)
                                                 0,9 | 7,6        = PLAYER_WIN | (NO BET)
                                                 9,0 | 8,8        = PLAYER_WIN | (NO BET)
                                                 2,6 | 0,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 3,1 | 7,1        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (2,A)3,K | (9,4)3,K   = TIE        | (NO BET)
                                            (K,Q)0,8 | 0,1        = PLAYER_WIN | (NO BET)
                                                 7,0 | 3,6        = BANKER_WIN | (NO BET)
                                            (Q,Q)0,9 | 3,0        = PLAYER_WIN | (NO BET)
                                                 5,4 | 6,1        = PLAYER_WIN | (NO BET)
                                                 2,5 | (Q,J)0,J   = PLAYER_WIN | (NO BET)
                                            (A,9)0,A | (2,J)2,A   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 8,0 | 7,0        = PLAYER_WIN | (NO BET)
                                                 2,7 | 9,6        = PLAYER_WIN | (NO BET)
                                                 0,9 | 9,0        = TIE        | (NO BET)
                                            (6,4)0,7 | (K,2)2,8   = PLAYER_WIN | (NO BET)
                                           (10,Q)0,3 | 3,4        = BANKER_WIN | (NO BET)
                                            (5,5)0,2 | 5,2        = BANKER_WIN | (NO BET)
                                                 0,6 | 2,7        = BANKER_WIN | (NO BET)
                                                 1,5 | (3,8)1,10  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (6,4)0,Q | (10,A)1,3  = BANKER_WIN | (NO BET)
                                            (Q,4)4,J | (3,9)2,A   = PLAYER_WIN | (NO BET)
                                           (2,10)2,K | (Q,J)0,7   = BANKER_WIN | (NO BET)
                                          (A,10)1,10 | 2,4        = BANKER_WIN | (NO BET)
                                           (5,10)5,2 | 5,2        = TIE        | (NO BET)
                                                 9,0 | 4,7        = PLAYER_WIN | (NO BET)
                                            (A,J)1,6 | 0,7        = TIE        | (NO BET)
                                            (3,2)5,Q | (K,2)2,9   = PLAYER_WIN | (NO BET)
                                            (2,K)2,7 | 0,0        = PLAYER_WIN | (NO BET)
                                                 7,5 | 9,0        = BANKER_WIN | (NO BET)
                                                 8,0 | 3,9        = PLAYER_WIN | (NO BET)
                                            (5,5)0,K | 0,6        = BANKER_WIN | (NO BET)
                                                 0,9 | 8,0        = PLAYER_WIN | (NO BET)
                                                 0,3 | 0,8        = BANKER_WIN | (NO BET)
                                                 9,1 | 3,5        = BANKER_WIN | (NO BET)
                                            (8,5)3,4 | (K,2)2,8   = PLAYER_WIN | (NO BET)
                                            (6,6)2,J | 6,1        = BANKER_WIN | (NO BET)
                                                 0,0 | 6,2        = BANKER_WIN | (NO BET)
                                            (K,K)0,A | 6,0        = BANKER_WIN | (NO BET)
                                                 1,6 | (2,10)2,Q  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (J,3)3,Q | 7,9        = BANKER_WIN | (NO BET)
                                                 1,7 | 0,7        = PLAYER_WIN | (NO BET)
                                            (8,4)2,9 | (10,J)0,K  = PLAYER_WIN | (NO BET)
                                            (4,6)0,4 | (5,7)2,3   = BANKER_WIN | (NO BET)
                                                 3,5 | 3,4        = PLAYER_WIN | (NO BET)
                                           (10,3)3,4 | (A,A)2,8   = PLAYER_WIN | (NO BET)
                                           (4,K)4,10 | (K,3)3,7   = PLAYER_WIN | (NO BET)
                                                 4,2 | (8,7)5,5   = PLAYER_WIN | (BET) BANKER_WIN
                                            (5,J)5,3 | 6,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                     卡用完了，重新初始化!
                                            (K,4)4,K | (J,Q)0,A   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,6 | 1,7        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (9,2)1,8 | 4,2        = PLAYER_WIN | (NO BET)
                                                 0,0 | 9,9        = BANKER_WIN | (NO BET)
                                                 7,3 | 2,7        = BANKER_WIN | (NO BET)
                                            (Q,K)0,6 | (K,2)2,A   = PLAYER_WIN | (NO BET)
                                           (9,3)2,10 | (J,2)2,2   = BANKER_WIN | (NO BET)
                                            (4,A)5,9 | (4,8)2,7   = BANKER_WIN | (NO BET)
                                                 1,8 | 6,3        = TIE        | (NO BET)
                                                 7,0 | 9,0        = BANKER_WIN | (NO BET)
                                                 4,2 | (Q,Q)0,7   = BANKER_WIN | (NO BET)
                                                 0,6 | (5,5)0,K   = PLAYER_WIN | (NO BET)
                                                 9,8 | (8,4)2,2   = PLAYER_WIN | (NO BET)
                                            (K,Q)0,2 | (Q,2)2,4   = BANKER_WIN | (NO BET)
                                                 1,4 | 0,8        = BANKER_WIN | (NO BET)
                                                 0,7 | 6,0        = PLAYER_WIN | (NO BET)
                                                 2,5 | 0,7        = TIE        | (NO BET)
                                            (A,4)5,5 | 0,6        = BANKER_WIN | (NO BET)
                                                 0,0 | 6,2        = BANKER_WIN | (NO BET)
                                                 6,1 | 3,3        = PLAYER_WIN | (NO BET)
                                                 4,4 | 0,4        = PLAYER_WIN | (NO BET)
                                                 0,0 | 8,0        = BANKER_WIN | (NO BET)
                                                 7,0 | (3,Q)3,J   = PLAYER_WIN | (NO BET)
                                            (J,A)1,Q | 9,8        = BANKER_WIN | (NO BET)
                                           (4,10)4,5 | 7,5        = PLAYER_WIN | (NO BET)
                                           (2,10)2,A | (A,J)1,2   = TIE        | (NO BET)
                                            (3,Q)3,5 | 6,4        = PLAYER_WIN | (NO BET)
                                                 1,5 | (10,3)3,7  = PLAYER_WIN | (NO BET)
                                            (3,K)3,A | 8,8        = BANKER_WIN | (NO BET)
                                            (2,Q)2,5 | 9,7        = PLAYER_WIN | (NO BET)
                                            (A,Q)1,J | 0,6        = BANKER_WIN | (NO BET)
                                                 6,0 | 1,5        = TIE        | (NO BET)
                                           (10,3)3,9 | (5,5)0,A   = PLAYER_WIN | (NO BET)
                                                 4,3 | 7,9        = PLAYER_WIN | (NO BET)
                                           (J,5)5,10 | 7,9        = BANKER_WIN | (NO BET)
                                           (10,Q)0,3 | 5,0        = BANKER_WIN | (NO BET)
                                                 0,6 | 9,0        = BANKER_WIN | (NO BET)
                                            (K,2)2,3 | (7,3)0,3   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,4)4,6 | (3,10)3,J  = BANKER_WIN | (NO BET)
                                            (8,2)0,3 | 5,0        = BANKER_WIN | (NO BET)
                                            (2,K)2,7 | 4,6        = PLAYER_WIN | (NO BET)
                                           (10,K)0,2 | (4,Q)4,9   = BANKER_WIN | (NO BET)
                                                 8,8 | (K,4)4,K   = PLAYER_WIN | (NO BET)
                                                 6,1 | (2,9)1,9   = PLAYER_WIN | (NO BET)
                                                 5,2 | (4,7)1,6   = TIE        | (NO BET)
                                           (J,10)0,A | (8,4)2,2   = BANKER_WIN | (NO BET)
                                            (8,6)4,A | (J,K)0,6   = BANKER_WIN | (NO BET)
                                                 3,0 | 5,3        = BANKER_WIN | (NO BET)
                                                 0,8 | 5,9        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,1 | 0,5        = PLAYER_WIN | (NO BET)
                                            (3,K)3,3 | (5,8)3,2   = PLAYER_WIN | (NO BET)
                                            (2,K)2,8 | (K,A)1,4   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (4,K)4,A | 0,6        = BANKER_WIN | (NO BET)
                                            (5,Q)5,3 | 0,2        = PLAYER_WIN | (NO BET)
                                            (9,5)4,5 | 0,0        = PLAYER_WIN | (NO BET)
                                                 7,0 | (7,7)4,K   = PLAYER_WIN | (NO BET)
                                           (3,10)3,2 | (4,10)4,6  = PLAYER_WIN | (BET) BANKER_WIN
                                                 8,1 | 8,9        = PLAYER_WIN | (BET) BANKER_WIN
                                            (Q,K)0,8 | 2,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 8,9 | (A,J)1,4   = PLAYER_WIN | (BET) BANKER_WIN
                                                 1,1 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 9,0 | 9,5        = PLAYER_WIN | (NO BET)
                                                 2,4 | (6,6)2,9   = PLAYER_WIN | (NO BET)
                                            (Q,5)5,Q | (6,6)2,6   = BANKER_WIN | (NO BET)
                                                 0,0 | 2,6        = BANKER_WIN | (NO BET)
                                                 0,6 | (J,J)0,8   = BANKER_WIN | (NO BET)
                                                 0,8 | 3,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                                 5,1 | (6,7)3,4   = BANKER_WIN | (NO BET)
                                                 0,8 | 7,1        = TIE        | (NO BET)
                                                 0,9 | 0,1        = PLAYER_WIN | (NO BET)
                                                 6,0 | 8,0        = BANKER_WIN | (NO BET)
                                            (9,4)3,K | (6,7)3,3   = BANKER_WIN | (NO BET)
                                            (3,7)0,9 | 9,7        = PLAYER_WIN | (NO BET)
                                                 5,3 | 7,7        = PLAYER_WIN | (NO BET)
                                            (K,A)1,5 | (5,Q)5,3   = BANKER_WIN | (NO BET)
                                                 7,0 | (K,5)5,J   = PLAYER_WIN | (NO BET)
                                           (8,7)5,10 | (K,3)3,Q   = PLAYER_WIN | (NO BET)
                                                 3,0 | 8,0        = BANKER_WIN | (NO BET)
                                                 9,0 | 2,4        = PLAYER_WIN | (NO BET)
                                            (J,5)5,8 | (J,2)2,4   = BANKER_WIN | (NO BET)
                                                 0,8 | 3,9        = PLAYER_WIN | (NO BET)
                                            (6,7)3,J | (7,4)1,J   = PLAYER_WIN | (NO BET)
                                            (4,9)3,5 | 0,6        = PLAYER_WIN | (NO BET)
                                                 0,1 | 1,7        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                     卡用完了，重新初始化!
                                                 8,0 | 3,1        = PLAYER_WIN | (NO BET)
                                                 1,5 | 1,5        = TIE        | (NO BET)
                                           (2,10)2,7 | 2,0        = PLAYER_WIN | (NO BET)
                                            (6,9)5,A | (4,7)1,6   = BANKER_WIN | (NO BET)
                                                 4,2 | (2,8)0,A   = PLAYER_WIN | (NO BET)
                                                 8,0 | 7,0        = PLAYER_WIN | (NO BET)
                                           (10,K)0,K | 0,4        = BANKER_WIN | (NO BET)
                                                 7,9 | (4,7)1,8   = BANKER_WIN | (NO BET)
                                            (7,5)2,5 | (2,8)0,9   = BANKER_WIN | (NO BET)
                                                 0,0 | 1,7        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,2 | 0,9        = BANKER_WIN | (BET) PLAYER_WIN
                                                 5,3 | 9,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,0 | 1,8        = BANKER_WIN | (NO BET)
                                                 8,0 | 6,6        = PLAYER_WIN | (NO BET)
                                                 8,0 | 5,0        = PLAYER_WIN | (NO BET)
                                                 9,0 | 5,3        = PLAYER_WIN | (NO BET)
                                            (8,3)1,9 | 4,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 9,0 | 6,5        = PLAYER_WIN | (NO BET)
                                            (5,K)5,Q | 8,7        = TIE        | (NO BET)
                                                 0,6 | (4,A)5,10  = PLAYER_WIN | (NO BET)
                                                 9,0 | 2,1        = PLAYER_WIN | (NO BET)
                                                 5,0 | 7,1        = BANKER_WIN | (NO BET)
                                                 2,0 | 2,6        = BANKER_WIN | (NO BET)
                                            (3,7)0,J | (J,A)1,5   = BANKER_WIN | (NO BET)
                                                 0,7 | (4,6)0,Q   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 1,8 | 8,1        = TIE        | (NO BET)
                                            (6,6)2,4 | (2,J)2,5   = BANKER_WIN | (NO BET)
                                                 0,6 | (Q,5)5,3   = BANKER_WIN | (NO BET)
                                            (Q,J)0,2 | (K,Q)0,K   = PLAYER_WIN | (NO BET)
                                            (6,8)4,9 | 1,4        = BANKER_WIN | (NO BET)
                                            (3,Q)3,5 | 0,0        = PLAYER_WIN | (NO BET)
                                                 1,7 | 5,4        = BANKER_WIN | (NO BET)
                                                 0,6 | (Q,4)4,K   = PLAYER_WIN | (NO BET)
                                            (A,Q)1,6 | (4,6)0,Q   = PLAYER_WIN | (NO BET)
                                                 4,3 | (7,7)4,K   = PLAYER_WIN | (NO BET)
                                            (4,A)5,3 | 3,4        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,7 | 3,4        = TIE        | (BET) BANKER_WIN
                                                 3,0 | 7,2        = BANKER_WIN | (NO BET)
                                            (8,4)2,6 | 7,0        = PLAYER_WIN | (NO BET)
                                                 6,5 | 9,9        = BANKER_WIN | (NO BET)
                                                 8,9 | 9,0        = BANKER_WIN | (NO BET)
                                                 9,8 | (2,2)4,10  = PLAYER_WIN | (NO BET)
                                            (A,Q)1,5 | (Q,10)0,2  = PLAYER_WIN | (NO BET)
                                            (6,6)2,K | (J,J)0,J   = PLAYER_WIN | (NO BET)
                                                 0,7 | (Q,3)3,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,1 | (10,2)2,2  = PLAYER_WIN | (NO BET)
