                                                 6,2 | 0,2        = PLAYER_WIN | (NO BET)
                                            (9,4)3,2 | (9,4)3,7   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                          (10,3)3,10 | 2,2        = BANKER_WIN | (NO BET)
                                            (6,8)4,J | 0,4        = TIE        | (NO BET)
                                           (3,10)3,8 | (6,5)1,J   = TIE        | (NO BET)
                                           (5,10)5,4 | 0,7        = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,7)3,J | (9,A)0,2   = PLAYER_WIN | (NO BET)
                                            (4,6)0,2 | 7,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 1,8 | 8,2        = PLAYER_WIN | (NO BET)
                                            (Q,Q)0,3 | (10,4)4,8  = PLAYER_WIN | (NO BET)
                                                 3,0 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                                 1,0 | 8,1        = BANKER_WIN | (BET) PLAYER_WIN
                                            (9,A)0,K | (10,2)2,K  = BANKER_WIN | (BET) PLAYER_WIN
                                            (3,J)3,6 | 9,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 8,9        = PLAYER_WIN | (NO BET)
                                                 6,0 | 9,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                                 6,0 | (J,5)5,6   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (9,4)3,8 | (3,9)2,K   = BANKER_WIN | (NO BET)
                                            (7,3)0,6 | (10,K)0,2  = PLAYER_WIN | (NO BET)
                                           (5,10)5,7 | 7,8        = BANKER_WIN | (NO BET)
                                                 8,8 | 3,6        = BANKER_WIN | (NO BET)
                                                 7,2 | 6,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 3,5 | 5,0        = PLAYER_WIN | (NO BET)
                                                 0,9 | 1,7        = PLAYER_WIN | (BET) BANKER_WIN
                                                 6,2 | 9,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (3,Q)3,7 | (10,Q)0,Q  = TIE        | (NO BET)
                                                 0,7 | (Q,K)0,A   = PLAYER_WIN | (NO BET)
                                            (5,8)3,2 | 1,5        = BANKER_WIN | (NO BET)
                                            (K,A)1,9 | (2,10)2,J  = BANKER_WIN | (NO BET)
                                            (J,4)4,A | 3,2        = TIE        | (BET) PLAYER_WIN
                                            (A,3)4,A | (7,4)1,J   = PLAYER_WIN | (NO BET)
                                                 4,3 | 0,7        = TIE        | (NO BET)
                                                 8,0 | 1,0        = PLAYER_WIN | (NO BET)
                                            (5,8)3,3 | (9,2)1,5   = TIE        | (NO BET)
                                                 0,7 | (5,9)4,10  = PLAYER_WIN | (NO BET)
                                                 0,7 | (3,A)4,J   = PLAYER_WIN | (NO BET)
                                                 1,5 | (A,2)3,2   = PLAYER_WIN | (BET) BANKER_WIN
                                            (4,K)4,A | (A,J)1,J   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,6 | (4,6)0,A   = PLAYER_WIN | (BET) BANKER_WIN
                                           (7,6)3,10 | (10,Q)0,9  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                          (10,A)1,10 | 0,7        = BANKER_WIN | (NO BET)
                                                 7,6 | 3,6        = BANKER_WIN | (BET) PLAYER_WIN
                                                     卡用完了，重新初始化!
                                                 0,0 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,8 | 7,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,4 | 1,7        = BANKER_WIN | (NO BET)
                                                 5,2 | 6,0        = PLAYER_WIN | (NO BET)
                                                 0,7 | (5,9)4,5   = BANKER_WIN | (NO BET)
                                                 3,4 | 6,0        = PLAYER_WIN | (NO BET)
                                                 0,7 | 0,9        = BANKER_WIN | (NO BET)
                                            (3,9)2,9 | 4,0        = BANKER_WIN | (NO BET)
                                            (Q,2)2,5 | 3,4        = TIE        | (BET) PLAYER_WIN
                                            (9,3)2,2 | (3,7)0,5   = BANKER_WIN | (NO BET)
                                                 3,4 | (8,5)3,5   = BANKER_WIN | (NO BET)
                                                 8,1 | 2,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,J)0,2 | 0,7        = BANKER_WIN | (NO BET)
                                            (A,J)1,7 | 3,0        = PLAYER_WIN | (NO BET)
                                            (9,4)3,J | 3,1        = BANKER_WIN | (NO BET)
                                                 0,0 | 3,5        = BANKER_WIN | (NO BET)
                                            (K,5)5,A | (Q,3)3,J   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (A,10)1,8 | 0,0        = PLAYER_WIN | (NO BET)
                                            (2,3)5,K | 0,5        = TIE        | (BET) BANKER_WIN
                                                 4,4 | 0,0        = PLAYER_WIN | (NO BET)
                                                 6,0 | (3,Q)3,8   = PLAYER_WIN | (NO BET)
                                                 9,9 | 0,1        = PLAYER_WIN | (BET) BANKER_WIN
                                                 6,1 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 3,0 | 3,6        = BANKER_WIN | (NO BET)
                                           (10,J)0,K | (J,A)1,4   = BANKER_WIN | (BET) PLAYER_WIN
                                            (4,6)0,4 | (4,K)4,2   = BANKER_WIN | (BET) PLAYER_WIN
                                                 1,5 | 6,0        = TIE        | (BET) PLAYER_WIN
                                                 4,3 | (3,7)0,8   = BANKER_WIN | (NO BET)
                                           (5,10)5,7 | 5,0        = BANKER_WIN | (NO BET)
                                                 0,4 | 8,1        = BANKER_WIN | (BET) PLAYER_WIN
                                            (3,9)2,Q | (10,10)0,4 = BANKER_WIN | (BET) PLAYER_WIN
                                                 5,2 | 4,4        = BANKER_WIN | (BET) PLAYER_WIN
                                           (10,5)5,4 | 0,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (2,A)3,9 | (K,2)2,6   = BANKER_WIN | (NO BET)
                                            (2,Q)2,A | (5,6)1,3   = BANKER_WIN | (NO BET)
                                                 8,7 | 3,6        = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,7 | 1,8        = BANKER_WIN | (BET) PLAYER_WIN
                                            (3,A)4,4 | 7,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (J,10)0,Q | (2,J)2,2   = BANKER_WIN | (NO BET)
                                            (Q,3)3,9 | 4,1        = BANKER_WIN | (NO BET)
                                            (K,2)2,5 | (J,4)4,5   = BANKER_WIN | (BET) PLAYER_WIN
                                                 7,0 | (10,3)3,K  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,7)2,2 | (3,7)0,6   = BANKER_WIN | (NO BET)
                                            (A,A)2,5 | (3,7)0,8   = BANKER_WIN | (NO BET)
                                            (5,Q)5,8 | (5,7)2,A   = TIE        | (BET) PLAYER_WIN
                                            (2,K)2,9 | 4,0        = BANKER_WIN | (NO BET)
                                                 0,8 | 4,6        = PLAYER_WIN | (NO BET)
                                            (3,K)3,9 | 0,7        = BANKER_WIN | (NO BET)
                                                 3,5 | 8,8        = PLAYER_WIN | (NO BET)
                                           (K,10)0,2 | (10,10)0,2 = TIE        | (NO BET)
                                                 0,0 | 0,8        = BANKER_WIN | (NO BET)
                                                 6,1 | (3,J)3,8   = PLAYER_WIN | (NO BET)
                                            (8,6)4,8 | 7,0        = BANKER_WIN | (NO BET)
                                                 0,6 | (7,8)5,K   = PLAYER_WIN | (NO BET)
                                                 0,8 | 5,7        = PLAYER_WIN | (NO BET)
                                                 5,1 | (A,9)0,Q   = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,9)5,5 | (4,7)1,A   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 2,0 | 1,7        = BANKER_WIN | (NO BET)
                                            (J,Q)0,8 | 2,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,6)1,Q | (Q,J)0,K   = PLAYER_WIN | (NO BET)
                                                 7,1 | 3,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 2,4 | 8,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 9,0 | 6,6        = PLAYER_WIN | (NO BET)
                                            (7,5)2,A | (2,Q)2,10  = PLAYER_WIN | (NO BET)
                                            (9,4)3,J | 0,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (7,5)2,8 | (A,A)2,10  = BANKER_WIN | (NO BET)
                                                 7,9 | (Q,Q)0,10  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                                 0,9 | 1,2        = PLAYER_WIN | (NO BET)
                                            (Q,A)1,K | (Q,Q)0,8   = BANKER_WIN | (NO BET)
                                            (4,6)0,6 | (6,9)5,10  = PLAYER_WIN | (NO BET)
                                            (3,2)5,6 | (Q,10)0,J  = PLAYER_WIN | (NO BET)
                                                 6,0 | 2,4        = TIE        | (BET) BANKER_WIN
                                            (3,2)5,9 | 0,7        = BANKER_WIN | (NO BET)
                                                 8,9 | (9,2)1,J   = PLAYER_WIN | (NO BET)
                                                 2,2 | 9,9        = BANKER_WIN | (NO BET)
                                                 8,8 | 6,0        = TIE        | (NO BET)
                                            (K,5)5,7 | 6,1        = BANKER_WIN | (NO BET)
                                                 9,0 | 9,6        = PLAYER_WIN | (NO BET)
                                                 5,6 | 0,8        = BANKER_WIN | (NO BET)
                                            (4,6)0,K | 4,0        = BANKER_WIN | (NO BET)
                                            (9,6)5,9 | (2,A)3,8   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 2,7 | 8,0        = PLAYER_WIN | (NO BET)
                                                 6,3 | 7,2        = TIE        | (BET) BANKER_WIN
                                          (10,10)0,10 | (4,6)0,K   = TIE        | (NO BET)
                                                 8,0 | 0,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                     卡用完了，重新初始化!
                                            (J,Q)0,J | 0,4        = BANKER_WIN | (NO BET)
                                                 3,1 | 1,8        = BANKER_WIN | (NO BET)
                                            (J,Q)0,2 | (3,9)2,K   = TIE        | (BET) PLAYER_WIN
                                                 3,4 | (A,K)1,2   = PLAYER_WIN | (NO BET)
                                            (6,6)2,4 | (4,8)2,Q   = PLAYER_WIN | (NO BET)
                                            (A,K)1,8 | 0,0        = PLAYER_WIN | (BET) BANKER_WIN
                                            (J,A)1,6 | 0,6        = PLAYER_WIN | (BET) BANKER_WIN
                                            (5,8)3,3 | 7,9        = TIE        | (BET) BANKER_WIN
                                                 6,0 | (3,9)2,A   = PLAYER_WIN | (NO BET)
                                            (A,4)5,2 | (8,2)0,9   = BANKER_WIN | (NO BET)
                                                 6,3 | 6,0        = PLAYER_WIN | (NO BET)
                                                 7,0 | 8,0        = BANKER_WIN | (NO BET)
                                                 9,0 | 0,3        = PLAYER_WIN | (NO BET)
                                                 6,0 | (8,3)1,2   = PLAYER_WIN | (NO BET)
                                                 2,4 | (4,A)5,3   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 1,7 | 3,5        = TIE        | (NO BET)
                                                 3,2 | 5,4        = BANKER_WIN | (NO BET)
                                                 7,3 | 8,0        = BANKER_WIN | (NO BET)
                                            (J,K)0,9 | 2,4        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (8,6)4,J | (A,10)1,K  = PLAYER_WIN | (NO BET)
                                                 5,2 | (5,8)3,10  = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,0 | (A,10)1,9  = PLAYER_WIN | (BET) BANKER_WIN
                                            (5,5)0,5 | (3,10)3,7  = PLAYER_WIN | (BET) BANKER_WIN
                                            (7,7)4,6 | (5,9)4,10  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 2,6 | 6,9        = PLAYER_WIN | (NO BET)
                                            (7,5)2,7 | 7,0        = PLAYER_WIN | (NO BET)
                                           (10,Q)0,K | (8,2)0,4   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (J,4)4,6 | (6,5)1,3   = BANKER_WIN | (NO BET)
                                            (4,Q)4,2 | 0,7        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,5 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (5,6)1,A | 0,6        = BANKER_WIN | (BET) PLAYER_WIN
                                            (Q,Q)0,5 | 7,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (J,4)4,9 | 9,5        = BANKER_WIN | (BET) PLAYER_WIN
                                                 3,2 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 1,0 | 4,5        = BANKER_WIN | (BET) PLAYER_WIN
                                            (2,A)3,7 | 1,5        = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,1 | 8,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (A,2)3,A | (4,Q)4,J   = TIE        | (NO BET)
                                            (8,5)3,5 | 0,0        = PLAYER_WIN | (NO BET)
                                            (K,J)0,6 | (3,K)3,4   = BANKER_WIN | (NO BET)
                                            (4,J)4,A | 0,6        = BANKER_WIN | (NO BET)
                                            (9,A)0,J | 9,5        = BANKER_WIN | (BET) PLAYER_WIN
